city_id,restaurant_id,food_id,food_name,price,is_dinner,food_type,cuisine,Beijing,Tianjin,Hebei,Shanxi,Nei Mongol,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Xizang,Shanxi2,Gansu,Qinghai,Ningxia,Xinjiang,not-spicy,slightly-spicy,medium-spicy,extra-spicy,child,teenager,adult,middle-ager,elderly,breakfast,lunch,dinner,afternoon-tea,night-snack,male,female,spring,summer,autumn,winter,food_score,image_name
3,12,2,Ó¿±ƒ¿”„,228,1,1,3,3,4,4,3,3,3,3,3,2,2,2,2,2,3,3,3,3,4,2,2,3,4,4,4,3,3,3,3,3,3,3,0,1,1,1,2,4,4,3,2,1,4,4,1,2,4,3,4,3,4,4,1,3-12-2.jpg
3,12,3,∂˛À˚¬ËÃ«±˝,15,0,1,3,3,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,4,2,2,2,2,3,3,3,3,3,3,2,3-12-3.jpg
3,12,4,√ÿÀ‚±¨≈£»‚,188,1,1,3,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,4,4,4,4,4,1,3,3,2,1,4,4,3,3,3,4,2,3-12-4.jpg
3,12,5,¿∞∞ÀÀ‚…’¬πΩÓ,168,1,1,3,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,4,4,4,4,4,1,3,3,2,1,4,4,3,3,3,4,3,3-12-5.jpg
3,12,6,–°Õ¡∂π…’»‚ÏÀ±´”„,298,1,1,3,3,4,4,3,3,3,3,3,2,2,2,2,2,3,3,3,3,4,2,2,3,4,4,4,3,3,3,3,3,3,3,0,1,1,1,2,4,4,3,2,1,4,4,1,2,4,3,4,3,4,4,3,3-12-6.jpg
3,12,7,∞◊≤À’›Õ∑,58,1,1,3,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,4,4,4,4,4,1,3,3,2,1,4,4,3,3,3,4,4,3-12-7.jpg
3,12,8,¿œ¥◊∞Ë’›Õ∑,58,1,1,3,3,3,3,3,3,3,2,2,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,4,1,3,3,1,1,3,4,4,4,3,3,4,3-12-8.jpg
3,12,9,øæ—ÚÕ»,188,1,1,3,3,3,3,3,4,4,4,4,2,2,2,2,2,3,4,4,3,3,2,2,3,3,3,3,3,4,3,4,4,4,4,0,0,0,0,2,4,4,3,2,1,3,4,1,3,4,3,3,5,3,3,5,3-12-9.jpg
3,12,10,¥‡«Ôø˚º·π˚…≥¿≠,68,1,1,3,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,4,4,4,4,4,1,3,3,2,1,4,4,3,3,3,4,5,3-12-10.jpg
3,13,1,À´º¶µ∞π˚±Õ,12,1,1,3,3,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,4,2,2,2,2,3,3,3,3,3,3,1,3-13-1.jpg
3,13,2,¥´Õ≥ºÂ±˝π˚◊”,16,1,1,3,3,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,4,2,2,2,2,3,3,3,3,3,3,1,3-13-2.jpg
3,13,3,À´º¶µ∞À´π˚◊”,11,1,1,3,3,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,4,2,2,2,2,3,3,3,3,3,3,2,3-13-3.jpg
3,13,4,À´º¶µ∞π˚Û˜∂˘,12,1,1,3,3,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,4,2,2,2,2,3,3,3,3,3,3,2,3-13-4.jpg
3,13,5,∂˛…©◊”ºÂ±˝π˚◊”,10,1,1,3,3,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,4,2,2,2,2,3,3,3,3,3,3,3,3-13-5.jpg
3,13,6,‘≠Œ∂∂πΩ¨,6,3,1,3,4,4,3,3,3,4,4,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,4,3,3,3,4,5,3,3,3,1,3,5,3,3,4,5,3,3-13-6.jpg
3,13,7,”ÕÃı,2,0,1,3,3,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,4,2,2,2,2,3,3,3,3,3,3,4,3-13-7.jpg
3,13,8,…’±˝º–≈£»‚,18,1,1,3,3,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,4,2,2,2,2,3,3,3,3,3,3,4,3-13-8.jpg
3,13,9,æ´∆∑À´µ∞ºÂ±˝π˚◊”,16,1,1,3,3,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,4,2,2,2,2,3,3,3,3,3,3,5,3-13-9.jpg
3,13,10,—ºÀ¯π«,15,1,1,3,3,4,4,3,3,3,3,3,2,2,2,2,2,3,3,3,3,4,2,2,3,4,4,4,3,3,3,3,3,3,3,0,1,1,1,2,4,4,3,2,1,4,4,1,2,4,3,4,3,4,4,5,3-13-10.jpg
3,14,1,¥´Õ≥÷Ì»‚∞¸◊”,46,1,1,3,3,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,4,2,2,2,2,3,3,3,3,3,3,1,3-14-1.jpg
3,14,2,¥´Õ≥»˝œ ∞¸◊”,48,1,1,3,3,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,4,2,2,2,2,3,3,3,3,3,3,1,3-14-2.jpg
3,14,3,“ª∆∑»´–∑∞¸,88,1,1,3,3,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,4,2,2,2,2,3,3,3,3,3,3,2,3-14-3.jpg
3,14,4,∞ŸƒÍΩ¥»‚∞¸,64,1,1,3,3,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,4,2,2,2,2,3,3,3,3,3,3,2,3-14-4.jpg
3,14,5, Øƒ•∂π∏Ø,9.9,1,1,3,3,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,4,2,2,2,2,3,3,3,3,3,3,3,3-14-5.jpg
